2015-10-14 15:20:54.6318|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: 
*** Please tell me who you are.

Run

  git config --global user.email "you@example.com"
  git config --global user.name "Your Name"

to set your account's default identity.
Omit --global to set the identity only in this repository.

fatal: unable to auto-detect email address (got 'admin@DESKTOP-3QABL5B.(none)')
2015-10-14 15:20:44.5783|INFO|thread:27|ProcessWrapper|Starting: Process - FileName: 'C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "My OnlinePOS install/Online-POS/WebContent/css/less/dropdown.less" ', Working Directory: C:\Users\admin\Documents\GitHub\OnlinePos\
2015-10-14 15:20:44.6073|INFO|thread:27|GitEnvironment|Process set up with this SSH Agent info: 5396:/tmp/ssh-BHIYnc6XL4TP/agent.3800
2015-10-14 15:20:44.6073|INFO|thread:27|GitEnvironment|PATH is C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\admin\AppData\Local\Apps\2.0\91X4ALMM.LXC\PGOD4OW9.B5G\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\admin\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-10-14 15:20:44.6073|INFO|thread:27|ProcessWrapper|Starting: Process - FileName: 'C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "My OnlinePOS install/Online-POS/WebContent/css/less/ext/bootstrap-tag.less" ', Working Directory: C:\Users\admin\Documents\GitHub\OnlinePos\
2015-10-14 15:20:44.6353|INFO|thread:27|GitEnvironment|Process set up with this SSH Agent info: 5396:/tmp/ssh-BHIYnc6XL4TP/agent.3800
2015-10-14 15:20:44.6353|INFO|thread:27|GitEnvironment|PATH is C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\admin\AppData\Local\Apps\2.0\91X4ALMM.LXC\PGOD4OW9.B5G\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\admin\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-10-14 15:20:44.6353|INFO|thread:27|ProcessWrapper|Starting: Process - FileName: 'C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'add --all "My OnlinePOS install/Online-POS/WebContent/css/less/form-checkbox.less" ', Working Directory: C:\Users\admin\Documents\GitHub\OnlinePos\
2015-10-14 15:20:44.6643|INFO|thread:27|GitEnvironment|Process set up with this SSH Agent info: 5396:/tmp/ssh-BHIYnc6XL4TP/agent.3800
2015-10-14 15:20:44.6643|INFO|thread:27|GitEnvironment|PATH is C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\admin\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\admin\AppData\Local\Apps\2.0\91X4ALMM.LXC\PGOD4OW9.B5G\gith..tion_317444273a93ac29_0003.0000_23fac73779ecbb54;C:\Users\admin\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
